material_id  task_id      run_type  thermo_type       chemsys       uncorrected_energy  correction    corrected_energy
mp-1018134   mp-1945769   R2SCAN    R2SCAN            Li                     -7.160119    0.000000           -7.160119
mp-1018134   mp-1945769   R2SCAN    GGA_GGA+U_R2SCAN  Li                     -7.160119    0.000000           -7.160119
mp-1018134   mp-1790957   GGA       GGA_GGA+U         Li                     -5.726769    0.000000           -5.726769
mp-23        mp-1949183   R2SCAN    GGA_GGA+U_R2SCAN  Ni                    -11.981717    0.000000          -11.981717
mp-23        mp-1793018   GGA       GGA_GGA+U         Ni                     -5.780137    0.000000           -5.780137
mp-23        mp-1949183   R2SCAN    R2SCAN            Ni                    -11.981717    0.000000          -11.981717
mp-723285    mp-1788458   GGA       GGA_GGA+U         O                     -39.573510    0.000000          -39.573510
mp-611836    mp-2739174   R2SCAN    R2SCAN            O                     -11.921301    0.000000          -11.921301
mp-611836    mp-2739174   R2SCAN    GGA_GGA+U_R2SCAN  O                     -11.921301    0.000000          -11.921301
mp-12957     mp-1933400   GGA       GGA_GGA+U_R2SCAN  O                     -39.583688    0.000000          -39.583688
mp-12957     mp-1933400   GGA       GGA_GGA+U         O                     -39.583688    0.000000          -39.583688
mp-656887    mp-2020477   R2SCAN    R2SCAN            Ni-O                 -134.823229    0.000000         -134.823229
mp-19009     mp-1957570   R2SCAN    R2SCAN            Ni-O                  -20.156545    0.000000          -20.156545
mp-19009     mp-1232453   GGA+U     GGA_GGA+U_R2SCAN  Ni-O                  -19.872537   -6.456000          -26.328537
mp-656887    mp-1287888   GGA+U     GGA_GGA+U         Ni-O                  -68.177009  -20.742000          -88.919009
mp-19009     mp-1232453   GGA+U     GGA_GGA+U         Ni-O                  -19.872537   -6.456000          -26.328537
mp-656887    mp-2020477   R2SCAN    GGA_GGA+U_R2SCAN  Ni-O                 -134.823229   45.904220          -88.919009
mp-1235059   mp-1796952   GGA       GGA_GGA+U_R2SCAN  Li-O                  -44.048233   -1.288000          -45.336233
mp-841       mp-2049708   R2SCAN    GGA_GGA+U_R2SCAN  Li-O                  -46.089874    5.460976          -40.628897
mp-841       mp-2049708   R2SCAN    R2SCAN            Li-O                  -46.089874    0.000000          -46.089874
mp-1960      mp-1949896   R2SCAN    GGA_GGA+U_R2SCAN  Li-O                  -16.826560    1.875960          -14.950600
mp-1960      mp-1949896   R2SCAN    R2SCAN            Li-O                  -16.826560    0.000000          -16.826560
mp-841       mp-1422354   GGA       GGA_GGA+U         Li-O                  -38.768897   -1.860000          -40.628897
mp-1235059   mp-1796952   GGA       GGA_GGA+U         Li-O                  -44.048233   -1.288000          -45.336233
mp-1960      mp-1440823   GGA       GGA_GGA+U         Li-O                  -14.263600   -0.687000          -14.950600
mp-19308     mp-2759560   R2SCAN    R2SCAN            Li-Ni-O               -74.311118    0.000000          -74.311118
mp-1314210   mp-2767033   R2SCAN    R2SCAN            Li-Ni-O              -119.601454    0.000000         -119.601454
mp-774941    mp-1871380   GGA+U     GGA_GGA+U_R2SCAN  Li-Ni-O              -271.566337  -62.640000         -334.206337
mp-865631    mp-2045796   R2SCAN    R2SCAN            Li-Ni-O               -65.274643    0.000000          -65.274643
mp-753344    mp-2764492   R2SCAN    R2SCAN            Li-Ni-O              -267.982055    0.000000         -267.982055
mp-556550    mp-2029962   R2SCAN    R2SCAN            Li-Ni-O               -89.841274    0.000000          -89.841274
mp-755956    mp-2762470   R2SCAN    R2SCAN            Li-Ni-O              -146.567307    0.000000         -146.567307
mp-2348641   mp-2348641   GGA+U     GGA_GGA+U_R2SCAN  Li-Ni-O               -58.985840  -11.745000          -70.730840
mp-774941    mp-1871380   GGA+U     GGA_GGA+U         Li-Ni-O              -271.566337  -62.640000         -334.206337
mp-556550    mp-2029962   R2SCAN    GGA_GGA+U_R2SCAN  Li-Ni-O               -89.841274   21.937018          -67.904256
mp-2348641   mp-2348641   GGA+U     GGA_GGA+U         Li-Ni-O               -58.985840  -11.745000          -70.730840
mp-556550    mp-1301106   GGA+U     GGA_GGA+U         Li-Ni-O               -58.700256   -9.204000          -67.904256
